ICAO AC_TYPE
489222   B738
780274   A332
440053   A320
4400b7   A320
489224   B738
06a0e4   A359
4caf95   CRJ9
4cacca   CRJ9
4cacb5   A20N
4caca0   CRJ9
4cafcc   A20N
4cacb6   A20N
407003   AT76
4cacb4   A20N
4bb261   A321
502d0e   BCS3
440195   A320
4793c6   B738
4d21a7   B738
a2ae0a   GLF5
06a0ea   A359
4ac9ed   A20N
4ac9f0   A20N
4ac9ef   A20N
4ac9f2   A20N
4caf82   A20N
4ac9e6   A20N
4402a3   A320
44020a   A320
4400b2   A319
4408fb   B772
440052   A320
44029f   A320
440020   B772
89916d   A359
440046   A320
4401d4   A319
440488   A319
89907e   B789
3c56a5   A320
407833   A20N
44050e   A320
440061   A321
44035e   A320
4402be   A320
4402c6   A320
44035c   A320
4402b9   A320
440364   A320
44034f   A320
4d00f1   B737
48adab   E195
4404d0   GALX
04409d   E170
710414   A320
4952c4   A20N
440193   B738
34608e   A20N
34608a   A20N
471f02   A321
471f00   A321
471efe   A321
471f01   A321
c04fd7   A333
4a09b0   B738
407776   E190
4cafe2   E190
78158e   B789
ab8fd0   B764
4caf91   A332
4ca9ba   A321
4ca9bb   A321
a178fb   FA7X
461fa9   A321
4cc2a7   B752
3c0243   A318
4cafa6   E195
504e55   A321
4cacc6   B738
4ca8ab   B738
4cacad   B738
48c239   B738
4ca93e   B738
4ca5dc   B738
4cafc3   B738
4cafc1   B738
4cafcd   A20N
4caf89   AT43
39ceaa   B738
a05626   B78X
5083d0   B738
49d415   A319
4403bb   A320
440036   A320
503d25   B738
a00031   G550
adce13   GL5T
346090   A20N
789233   A359
040143   B789
4cacac   B738
4cacdb   B738
4cafd2   B738
4caca8   B738
407064   E55P
345645   A320
c07e62   B737
407777   E190
4073d0   E550
5ca811   B738
48c22b   B738
48c227   B738
4ca93b   B738
4ca891   B738
4ca1b8   B738
4cace0   B738
4caf7e   A20N
4b1809   BCS3
4bb268   A321
39cea7   B738
8960ca   B77W
a0f428   B78X
