507,1554925249,190410AFL2180,37.114,0.463,288.8,256.1,10000,19,57.67013,13.10732,0.444,0.026,0.55553,0,31894
502,1554925254,190410AFL2180,36.719,0.463,288.6,255.9,10000,10,57.66805,13.09565,0.444,0.026,0.55291,2.771,31698
497,1554925259,190410AFL2180,36.324,0.463,288.4,255.7,10000,-1,57.66596,13.08396,0.445,0.026,0.54888,5.526,31392
492,1554925264,190410AFL2180,35.928,0.462,288.2,255.5,10000,-16,57.66386,13.07228,0.446,0.026,0.54404,8.258,31021
487,1554925269,190410AFL2180,35.531,0.462,287.9,255.3,10000,-34,57.66173,13.06057,0.446,0.026,0.53827,10.964,30579
482,1554925274,190410AFL2180,35.127,0.461,287.7,255.1,10000,-86,57.6594,13.04877,0.447,0.026,0.52403,13.619,29467
477,1554925279,190410AFL2180,34.715,0.461,287.4,254.9,10000,-166,57.65678,13.03694,0.448,0.026,0.50284,16.187,27809
472,1554925284,190410AFL2180,34.302,0.461,287.2,254.7,9974,-217,57.65402,13.02516,0.448,0.026,0.48918,18.667,26730
467,1554925289,190410AFL2180,33.89,0.46,286.9,254.7,9924,-167,57.65116,13.01349,0.449,0.026,0.5011,21.142,27658
462,1554925294,190410AFL2180,33.477,0.479,286.6,216.2,20423,-149,57.64819,13.0019,0.632,0.033,0.40203,23.4,24824
457,1554925299,190410AFL2180,33.065,0.493,286.3,177.9,30922,-138,57.64514,12.99042,0.945,0.055,0.41319,25.438,28995
452,1554925304,190410AFL2180,32.658,0.493,286.1,177.7,30922,-86,57.64204,12.97915,0.947,0.056,0.42742,27.54,30075
447,1554925309,190410AFL2180,32.26,0.492,285.8,177.5,30922,-42,57.63891,12.96822,0.948,0.056,0.44064,29.71,31060
442,1554925314,190410AFL2180,31.864,0.492,285.6,177.4,30922,-221,57.63575,12.95741,0.95,0.056,0.39615,31.802,27720
437,1554925319,190410AFL2180,31.468,0.476,285.4,216.2,20123,-430,57.63258,12.94661,0.631,0.033,0.34065,33.644,19726
432,1554925324,190410AFL2180,31.074,0.456,285,255.3,9324,-615,57.62941,12.93586,0.446,0.026,0.38727,35.464,18497
427,1554925329,190410AFL2180,30.68,0.455,284.7,255.3,9249,-815,57.62625,12.92514,0.446,0.026,0.33533,37.27,14425
422,1554925334,190410AFL2180,30.286,0.455,284.3,255.3,9147,-1008,57.62308,12.91439,0.446,0.026,0.2838,38.818,10390
