408 1554902690 1554903260 27.796 0.478 297.1 256.0 11768 -1569 57.14429 11.64116 0.451 0.027 0.14131 0.000 169 291.5
230 1554902868 1554903260 14.287 0.387 244.0 224.0 7410 -1213 57.34604 11.82417 0.583 0.033 0.15458 26.413 1560 235.9
70 1554903028 1554903260 4.270 0.359 227.3 220.0 4301 -1136 57.48816 11.98567 0.602 0.034 0.16467 51.953 1903 221.5
0 1554903098 1554903260 0.000 0.319 203.0 200.0 3000 -1040 57.48107 12.11539 0.727 0.042 0.16798 63.621 2317 196.0
